"Age","L_O_S","Dropped_Calls","Peak_calls_Sum","Peak_mins_Sum","OffPeak_calls_Sum","OffPeak_mins_Sum","Weekend_calls_Sum","Weekend_mins_Sum","International_mins_Sum","Nat_call_cost_Sum","AvePeak","AveOffPeak","AveWeekend","National_calls","National_mins","AveNational","All_calls_mins","Mins_charge","call_cost_per_min","actual call cost","Total_call_cost","Total_Cost","average_cost_min","group"
34,56.033333,2,301,480,117,356.7,0,0,245.999108,25.781523,1.594684,3.048718,0,418,836.7,2.001675,1082.699108,236.7,10.736823,25.414061,99.213793,204.213793,0.188615,1
26,53.366667,2,193,378,140,330.3,17,41,221.075637,14.99675,1.958549,2.359286,2.411765,350,749.3,2.140857,970.375637,149.3,10.044708,14.99675,81.319441,186.319441,0.192008,2
52,51.133333,1,203,351,109,256.500001,7,79.2,202.516451,8.766586,1.729064,2.353211,11.314286,319,686.700001,2.152665,889.216452,86.700001,10.111402,8.766586,69.521521,174.521521,0.196264,2
34,28.333333,2,290,505.8,78,249.900001,20,33,211.389266,21.536491,1.744138,3.203846,1.65,388,788.700001,2.032732,1000.089267,188.700001,11.413085,21.536491,84.953271,189.953271,0.189936,1
53,23.166667,2,244,511.8,125,294.9,0,0,258.374028,23.533076,2.097541,2.3592,0,369,806.7,2.186179,1065.074028,206.7,11.344366,23.448804,100.961013,205.961013,0.193377,1
31,52.866667,1,365,552.600001,86,144.299999,22,102,252.976304,23.702935,1.513973,1.677907,4.636364,473,798.9,1.689006,1051.876304,198.9,11.917011,23.702935,99.595826,204.595826,0.194506,1
35,23.7,10,213,454.200001,39,90.899999,76,138,215.89479,9.680402,2.132394,2.330769,1.815789,328,683.1,2.082622,898.99479,83.1,11.6491,9.680402,74.448839,179.448839,0.199611,2
42,57.633333,7,262,404.4,29,309.3,10,22,195.064821,14.244166,1.543511,10.665517,2.2,301,735.7,2.444186,930.764821,135.7,10.496806,14.244165,72.763612,177.763612,0.190987,2
42,50.733333,0,259,563.4,116,257.700001,6,21.500001,214.02328,28.35132,2.17529,2.221552,3.583333,381,842.600002,2.211549,1056.623282,242.600002,11.686447,28.35132,92.558304,197.558304,0.186971,1
32,10,0,254,558,110,222.3,10,32.5,225.944361,25.249055,2.19685,2.020909,3.25,374,812.8,2.173262,1038.744361,212.8,11.865157,25.249055,93.032363,198.032363,0.190646,1
39,34.8,1,218,387.600001,202,335.399999,19,31.2,213.140966,15.634678,1.777982,1.660396,1.642105,439,754.2,1.717995,967.340966,154.2,10.13922,15.634678,79.576968,184.576968,0.190809,2
26,22.4,11,248,441.6,132,227.700001,37,60.6,236.779662,14.354136,1.780645,1.725,1.637838,417,729.900001,1.75036,966.679663,129.900001,11.050144,14.354137,85.388036,190.388036,0.19695,2
47,20.833333,2,203,456,183,321.3,0,0,241.528772,19.39181,2.246305,1.755738,0,386,777.3,2.013731,1018.828772,177.3,10.866461,19.266235,91.724867,196.724867,0.193089,1
26,25.266667,0,326,592.8,84,194.7,4,33.5,191.454143,27.007223,1.818405,2.317857,8.375,414,821,1.983092,1012.454143,221,12.220463,27.007223,84.443466,189.443466,0.187113,1
35,51.833333,2,294,544.2,21,169.8,13,63.6,195.406439,21.309257,1.85102,8.085714,4.892308,328,777.6,2.370732,973.006439,177.6,11.998457,21.309259,79.931191,184.931191,0.190062,1
